Session session_1743151627963 Total Time: 82.0303 seconds

Endpoints Called: transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech, transcribe_audio, chat, chat, text_to_speech

Phase Breakdown:
  transcribe_audio - start_processing: 0.0010s (elapsed: 0.0010s)
  transcribe_audio - start_file_processing: 0.0005s (elapsed: 0.0015s)
  transcribe_audio - start_ffmpeg_conversion: 0.0036s (elapsed: 0.0051s)
  transcribe_audio - start_speech_api_call: 0.1468s (elapsed: 0.1518s)
  transcribe_audio - speech_api_response_received: 1.5967s (elapsed: 1.7486s)
  transcribe_audio - end_processing: 0.0011s (elapsed: 1.7496s)
  chat - start_processing: 0.0116s (elapsed: 1.7612s)
  chat - start_openai_api_call: 0.0009s (elapsed: 1.7621s)
  chat - openai_response_received: 1.5016s (elapsed: 3.2638s)
  chat - end_processing: 0.0003s (elapsed: 3.2641s)
  chat - start_processing: 0.0072s (elapsed: 3.2713s)
  chat - start_openai_api_call: 0.0008s (elapsed: 3.2720s)
  chat - openai_response_received: 1.4192s (elapsed: 4.6913s)
  chat - end_processing: 0.0003s (elapsed: 4.6916s)
  text_to_speech - start_processing: 0.0071s (elapsed: 4.6987s)
  text_to_speech - start_tts_processing: 0.6911s (elapsed: 5.3898s)
  text_to_speech - tts_complete: 0.0028s (elapsed: 5.3927s)
  text_to_speech - end_processing: 0.0007s (elapsed: 5.3934s)
  transcribe_audio - start_processing: 0.0420s (elapsed: 5.4354s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 5.4357s)
  transcribe_audio - start_ffmpeg_conversion: 0.0030s (elapsed: 5.4387s)
  transcribe_audio - start_speech_api_call: 0.1379s (elapsed: 5.5766s)
  transcribe_audio - speech_api_response_received: 1.3671s (elapsed: 6.9438s)
  transcribe_audio - end_processing: 0.0004s (elapsed: 6.9442s)
  chat - start_processing: 0.0057s (elapsed: 6.9499s)
  chat - start_openai_api_call: 0.0011s (elapsed: 6.9510s)
  chat - openai_response_received: 0.7556s (elapsed: 7.7066s)
  chat - end_processing: 0.0003s (elapsed: 7.7069s)
  chat - start_processing: 0.0068s (elapsed: 7.7137s)
  chat - start_openai_api_call: 0.0008s (elapsed: 7.7145s)
  chat - openai_response_received: 0.8625s (elapsed: 8.5770s)
  chat - end_processing: 0.0003s (elapsed: 8.5773s)
  text_to_speech - start_processing: 0.0088s (elapsed: 8.5861s)
  text_to_speech - start_tts_processing: 0.8214s (elapsed: 9.4076s)
  text_to_speech - tts_complete: 0.0005s (elapsed: 9.4081s)
  text_to_speech - end_processing: 0.0004s (elapsed: 9.4085s)
  transcribe_audio - start_processing: 0.0345s (elapsed: 9.4430s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 9.4433s)
  transcribe_audio - start_ffmpeg_conversion: 0.0032s (elapsed: 9.4465s)
  transcribe_audio - start_speech_api_call: 0.1215s (elapsed: 9.5680s)
  transcribe_audio - speech_api_response_received: 1.3814s (elapsed: 10.9494s)
  transcribe_audio - end_processing: 0.0006s (elapsed: 10.9500s)
  chat - start_processing: 0.0076s (elapsed: 10.9576s)
  chat - start_openai_api_call: 0.0006s (elapsed: 10.9581s)
  chat - openai_response_received: 0.9403s (elapsed: 11.8984s)
  chat - end_processing: 0.0003s (elapsed: 11.8987s)
  chat - start_processing: 0.0065s (elapsed: 11.9052s)
  chat - start_openai_api_call: 0.0008s (elapsed: 11.9060s)
  chat - openai_response_received: 0.6525s (elapsed: 12.5585s)
  chat - end_processing: 0.0003s (elapsed: 12.5588s)
  text_to_speech - start_processing: 0.0067s (elapsed: 12.5655s)
  text_to_speech - start_tts_processing: 0.5689s (elapsed: 13.1344s)
  text_to_speech - tts_complete: 0.0005s (elapsed: 13.1349s)
  text_to_speech - end_processing: 0.0007s (elapsed: 13.1355s)
  transcribe_audio - start_processing: 0.0300s (elapsed: 13.1655s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 13.1658s)
  transcribe_audio - start_ffmpeg_conversion: 0.0028s (elapsed: 13.1686s)
  transcribe_audio - start_speech_api_call: 0.1096s (elapsed: 13.2782s)
  transcribe_audio - speech_api_response_received: 2.1944s (elapsed: 15.4726s)
  transcribe_audio - end_processing: 0.0007s (elapsed: 15.4733s)
  chat - start_processing: 0.0123s (elapsed: 15.4857s)
  chat - start_openai_api_call: 0.0010s (elapsed: 15.4867s)
  chat - openai_response_received: 1.2650s (elapsed: 16.7517s)
  chat - end_processing: 0.0004s (elapsed: 16.7521s)
  chat - start_processing: 0.0069s (elapsed: 16.7590s)
  chat - start_openai_api_call: 0.0010s (elapsed: 16.7600s)
  chat - openai_response_received: 1.4602s (elapsed: 18.2203s)
  chat - end_processing: 0.0003s (elapsed: 18.2206s)
  text_to_speech - start_processing: 0.0076s (elapsed: 18.2282s)
  text_to_speech - start_tts_processing: 1.5116s (elapsed: 19.7397s)
  text_to_speech - tts_complete: 0.0006s (elapsed: 19.7404s)
  text_to_speech - end_processing: 0.0004s (elapsed: 19.7407s)
  transcribe_audio - start_processing: 0.0343s (elapsed: 19.7751s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 19.7753s)
  transcribe_audio - start_ffmpeg_conversion: 0.0025s (elapsed: 19.7778s)
  transcribe_audio - start_speech_api_call: 0.1203s (elapsed: 19.8981s)
  transcribe_audio - speech_api_response_received: 2.4024s (elapsed: 22.3005s)
  transcribe_audio - end_processing: 0.0007s (elapsed: 22.3012s)
  chat - start_processing: 0.0079s (elapsed: 22.3091s)
  chat - start_openai_api_call: 0.0005s (elapsed: 22.3096s)
  chat - openai_response_received: 1.4089s (elapsed: 23.7185s)
  chat - end_processing: 0.0003s (elapsed: 23.7188s)
  chat - start_processing: 0.0063s (elapsed: 23.7251s)
  chat - start_openai_api_call: 0.0006s (elapsed: 23.7256s)
  chat - openai_response_received: 1.3665s (elapsed: 25.0921s)
  chat - end_processing: 0.0003s (elapsed: 25.0924s)
  text_to_speech - start_processing: 0.0082s (elapsed: 25.1006s)
  text_to_speech - start_tts_processing: 1.2875s (elapsed: 26.3881s)
  text_to_speech - tts_complete: 0.0006s (elapsed: 26.3887s)
  text_to_speech - end_processing: 0.0006s (elapsed: 26.3893s)
  transcribe_audio - start_processing: 0.0357s (elapsed: 26.4250s)
  transcribe_audio - start_file_processing: 0.0003s (elapsed: 26.4252s)
  transcribe_audio - start_ffmpeg_conversion: 0.0027s (elapsed: 26.4280s)
  transcribe_audio - start_speech_api_call: 0.1179s (elapsed: 26.5459s)
  transcribe_audio - speech_api_response_received: 2.4457s (elapsed: 28.9915s)
  transcribe_audio - end_processing: 0.0007s (elapsed: 28.9922s)
  chat - start_processing: 0.0086s (elapsed: 29.0008s)
  chat - start_openai_api_call: 0.0009s (elapsed: 29.0018s)
  chat - openai_response_received: 0.9042s (elapsed: 29.9060s)
  chat - end_processing: 0.0003s (elapsed: 29.9063s)
  chat - start_processing: 0.0061s (elapsed: 29.9123s)
  chat - start_openai_api_call: 0.0010s (elapsed: 29.9133s)
  chat - openai_response_received: 1.7413s (elapsed: 31.6546s)
  chat - end_processing: 0.0004s (elapsed: 31.6549s)
  text_to_speech - start_processing: 0.0062s (elapsed: 31.6611s)
  text_to_speech - start_tts_processing: 1.2993s (elapsed: 32.9604s)
  text_to_speech - tts_complete: 0.0004s (elapsed: 32.9609s)
  text_to_speech - end_processing: 0.0003s (elapsed: 32.9612s)

Total interaction time: 82.0303s
